,s_0_ma,s_0_me,s_0_vol,s_0_nb,s_0_freq,s_0_ratio,s_0_ratio2,s_1_ma,s_1_me,s_1_vol,s_1_nb,s_1_freq,s_1_ratio,s_1_ratio2,s_2_ma,s_2_me,s_2_vol,s_2_nb,s_2_freq,s_2_ratio,s_2_ratio2,s_3_ma,s_3_me,s_3_vol,s_3_nb,s_3_freq,s_3_ratio,s_3_ratio2,s_4_ma,s_4_me,s_4_vol,s_4_nb,s_4_freq,s_4_ratio,s_4_ratio2,s_5_ma,s_5_me,s_5_vol,s_5_nb,s_5_freq,s_5_ratio,s_5_ratio2,s_6_ma,s_6_me,s_6_vol,s_6_nb,s_6_freq,s_6_ratio,s_6_ratio2,s_7_ma,s_7_me,s_7_vol,s_7_nb,s_7_freq,s_7_ratio,s_7_ratio2,s_8_ma,s_8_me,s_8_vol,s_8_nb,s_8_freq,s_8_ratio,s_8_ratio2,s_9_ma,s_9_me,s_9_vol,s_9_nb,s_9_freq,s_9_ratio,s_9_ratio2,target
658099461,1166.6,0.1576973717104715,95.22239727453184,7.0,0.011,1.381,1.519,10465.8,-0.9742170963817269,432.160502946408,11.0,0.021,2.037,1.834,972.7,0.18106364893918434,89.39046502743642,11.0,0.021,1.227,1.248,1638.4,2.3663605606573226,115.65307208984058,11.0,0.021,1.499,1.527,3467.5,-0.030066165563907267,162.5100485223794,15.0,0.025,1.43,1.383,8353.599999999999,0.4773420442992617,494.4413341205342,38.0,0.064,1.093,1.841,3430.0,-2.3824936251062483,168.0352100969452,11.0,0.018,1.302,1.77,6817.5,-1.78362027299545,277.1812360263106,11.0,0.024,1.554,2.05,1787.9,-0.6698555024082932,119.75673853630829,13.0,0.023,1.687,1.377,3871.9,-0.17618039699338345,221.4106323827927,9.0,0.015,1.781,1.452,31870009
658783371,2849.8999999999996,1.0833652772453792,252.55515057450987,9.0,0.022,1.391,1.334,,,,0.0,0.0,0.0,0.0,2110.3,2.608373193780104,225.32687668333278,10.0,0.02,1.358,1.237,4443.9,1.4466425559574008,300.50675103672035,12.0,0.023,1.822,1.313,3434.3,-1.206413226446226,218.0595368475691,15.0,0.028,1.589,1.424,3152.1,10.42309294845086,438.82106147111983,5.0,0.011,1.112,1.155,2408.2,1.4410759820669656,287.5326465203943,6.0,0.017,1.178,1.14,3417.1,-1.5832236129397843,474.2294121543837,16.0,0.028,1.143,1.088,4338.7,0.2811619806336561,288.8291597846336,8.0,0.018,1.693,1.343,5606.6,3.732621122981284,592.3924474061224,12.0,0.022,1.251,1.177,21640199
659200008,5416.7,-1.8661522307961533,395.94647286510815,16.0,0.026,1.448,1.597,,,,0.0,0.0,0.0,0.0,2234.7,-1.2489958500691656,269.8036681855479,12.0,0.019,1.069,1.155,4733.8,0.23262945617573041,348.4382530124453,16.0,0.031,1.37,1.402,1685.3000000000002,-1.0866985550240829,159.13979281962855,17.0,0.032,1.231,1.308,3627.8,3.6247562540624325,562.818802359794,8.0,0.013,1.027,1.08,6677.0,4.102598290028499,442.87899228801984,8.0,0.022,1.195,1.582,13538.900000000001,-3.446775887068549,524.9569952613883,9.0,0.015,2.257,1.939,2436.3999999999996,-2.86343560940651,300.89126434196646,16.0,0.029,1.022,1.164,4372.799999999999,0.13876435392743455,529.0506385666974,19.0,0.032,1.042,1.142,34392078
661349045,2712.5,-3.3332777787036885,272.1709833725872,15.0,0.023,1.289,1.33,8846.0,1.1987800203329944,505.1963798822601,17.0,0.028,1.093,1.599,4073.0,7.193796770053832,450.2238492686482,16.0,0.025,1.279,1.242,2768.8,-1.619123014616423,282.67349169773433,10.0,0.016,1.319,1.157,1951.8,-0.12776453725771236,145.1231712386773,18.0,0.029,1.024,1.56,6492.5,-2.150447492541791,704.057866507092,16.0,0.029,1.037,1.233,7917.8,0.7103881601973301,611.5244560966015,18.0,0.039,2.106,1.282,6004.1,3.914484758587357,723.7714740058345,24.0,0.042,1.023,1.135,2703.5,-1.8575830311696713,278.2099971637005,15.0,0.024,1.269,1.289,5185.9,-4.260460373447452,436.311522750686,13.0,0.023,1.386,1.348,1096562
661440419,2318.8,1.9953167447209212,285.4530795134699,21.0,0.034,1.025,1.141,,,,0.0,0.0,0.0,0.0,1700.1,1.64345594240096,235.91162699752715,11.0,0.021,1.03,1.093,2471.1,3.8356527391210147,312.7625726741398,12.0,0.021,1.005,1.146,1992.7,-0.13544774253762437,217.3226876891294,19.0,0.033,1.019,1.194,4185.2,2.293311778137031,569.5806598553877,12.0,0.022,1.031,1.081,6131.9,1.9320011333144447,430.4021018883643,14.0,0.022,1.138,1.541,9083.099999999999,5.677272045465909,587.932364338944,18.0,0.029,2.204,1.295,2358.3,-0.28926184563590607,265.72269276515686,13.0,0.023,1.411,1.191,5113.4,4.3901101648305865,616.2899079226805,17.0,0.028,1.017,1.137,25610840
661668096,4216.9,-2.4671755470742154,560.1373665410543,5.0,0.027,1.036,1.114,11655.8,0.6091898468358861,652.5535811297602,14.0,0.026,1.186,1.764,,,,0.0,0.0,0.0,0.0,3595.3,-0.41399310011499807,439.22576429325,10.0,0.021,1.212,1.099,2247.0,0.3026782886951884,166.5779358063817,13.0,0.024,1.119,1.389,19154.0,9.820102998283362,2566.3712757402127,5.0,0.009,1.039,1.067,4427.799999999999,-4.1618973017116385,583.9711433657393,3.0,0.006,1.036,1.171,5977.5,-30.58874018766354,965.8752723196302,3.0,0.007,1.004,1.018,4103.1,3.7316211396476726,437.74025084837695,11.0,0.017,1.046,1.191,7656.4,-13.148747520874652,807.8259364149849,7.0,0.014,1.063,1.258,22967037
661709272,10937.599999999999,3.662322294628423,841.1351377255232,12.0,0.019,1.09,1.398,24102.199999999997,3.0047332544457594,1054.9960618407165,14.0,0.024,1.71,1.726,10383.6,-4.31632806119898,710.4312830654986,12.0,0.019,1.831,1.256,10458.3,2.5898235029416177,713.2265607787756,13.0,0.02,1.996,1.288,6613.8,-1.7231879468675522,450.0356919049981,15.0,0.026,1.112,1.579,8411.0,-0.9009516508058198,1089.5293555945684,7.0,0.012,1.085,1.092,1242.4,1.592306794886752,61.03104677404583,18.0,0.03,2.562,2.798,1120.8000000000002,-0.8619856335727738,91.41523408400529,17.0,0.032,5.246,1.715,11780.2,7.2795286745220915,788.8358737163412,11.0,0.017,1.164,1.407,21515.9,4.554274095431743,1585.6201100220123,10.0,0.018,1.058,1.573,6859938
662131474,4829.7,2.383510274828753,636.3756146873493,12.0,0.031,1.07,1.188,16186.300000000001,-11.157364043932601,1843.9174434548781,17.0,0.031,1.101,1.255,5432.0,1.386376893718438,635.1246789708122,12.0,0.027,1.03,1.128,6441.299999999999,1.5970567157214046,750.5161463347997,14.0,0.023,1.112,1.128,3362.5,2.6725721237979365,387.31259481857455,21.0,0.046,1.297,1.133,4133.4,3.5129414509758172,649.4328215862824,6.0,0.016,1.033,1.073,4075.5,-2.768303861602307,492.82673359526905,9.0,0.027,1.012,1.13,2927.6000000000004,-1.0123664605589906,347.25029167396,8.0,0.025,1.267,1.205,6481.6,-5.935134414426426,756.5444544553828,15.0,0.03,1.072,1.162,9954.7,-8.782453625772904,1214.7964349153929,15.0,0.028,1.15,1.12,19056446
662882349,7184.5,1.8154030766153897,712.3982278914111,19.0,0.031,1.066,1.221,15017.5,0.15541407643205946,873.694727801482,19.0,0.031,1.381,1.441,6639.9,2.676272062132298,612.7681312036106,9.0,0.014,1.863,1.195,7079.1,-6.34394426759554,606.5815614000522,10.0,0.016,1.688,1.159,3210.2,1.4815241017772662,253.41759726327788,14.0,0.022,1.23,1.528,9580.9,22.073165447242545,1268.237087807933,11.0,0.017,1.017,1.172,415.29999999999995,1.9142180963650606,52.901232647914476,38.0,0.063,1.123,1.166,824.5999999999999,0.5983566940550991,88.22528039984424,22.0,0.037,1.053,1.259,6585.799999999999,-0.4757254045765904,622.1048034764392,12.0,0.019,1.208,1.22,9943.5,-9.983000283328611,1008.4490438720425,12.0,0.019,1.109,1.283,12624902
663287084,4567.7,-1.5962733954434092,404.27230534277805,11.0,0.02,1.062,1.246,63539.0,-2.7187880201996633,1314.2283624489924,5.0,0.008,2.786,2.969,3552.1000000000004,0.7685371910468158,319.16266376876865,11.0,0.025,1.292,1.168,6650.0,4.5753237446042565,423.28272843644635,12.0,0.03,1.545,1.386,8047.5,0.053215779737004386,277.98291268176513,9.0,0.018,2.586,1.639,10494.9,-2.00028332861119,624.3338557779232,25.0,0.042,2.295,1.262,5894.4,0.06278228696188397,374.43474997025265,11.0,0.032,1.152,1.49,4120.2,-3.1696971717138047,349.9907890357256,25.0,0.041,1.018,1.28,4980.7,2.4110184543040307,438.5920352139459,7.0,0.025,1.181,1.658,10674.9,5.4251929134514425,1001.5043550704542,11.0,0.033,1.466,1.244,5531541
663459205,15176.6,-0.6073565440575991,593.5102243759353,4.0,0.076,1.399,2.831,13255.2,-0.91596806719888,588.2769896697533,20.0,0.034,2.097,1.482,15511.6,-1.438226029566174,586.1657708784809,5.0,0.026,1.779,2.204,25676.9,0.771853802436626,728.9367536020752,4.0,0.09,2.06,2.939,3317.6000000000004,-1.1204146597556708,219.945352646437,14.0,0.025,1.239,1.515,14942.8,2.219929667838869,709.3404450137838,5.0,0.025,1.262,2.262,13853.4,-6.3302611623139615,660.5436586835092,5.0,0.042,2.974,1.683,18874.699999999997,-3.6419226346227562,855.7451241071566,7.0,0.013,2.446,1.714,33349.2,1.8042699288345194,914.4096654336594,4.0,0.095,4.471,2.575,14168.3,-5.574373760437326,803.5336722668048,6.0,0.014,1.286,1.794,2507552
663744558,17759.4,-1.2703954934084432,2383.363181196724,9.0,0.015,1.03,1.121,42108.399999999994,-5.103081615306412,4357.298034564689,23.0,0.038,1.02,1.162,19084.5,10.43399276678722,2277.5965906579336,16.0,0.035,1.173,1.104,17842.199999999997,18.654405759904,2412.712425074428,10.0,0.019,1.058,1.115,,27.255172413793105,723.5389680834855,0.0,0.0,0.0,0.0,15174.3,-32.041665972233794,1887.5392663436749,10.0,0.028,1.002,1.068,10805.5,13.973650439159348,1414.7821946309327,7.0,0.022,1.093,1.11,11760.9,25.523041282645288,1450.7471230896874,9.0,0.015,1.084,1.143,20392.3,-33.77270378827019,2679.9050626809812,11.0,0.017,1.001,1.12,36144.3,50.15151414143098,3880.0830897306005,12.0,0.019,1.032,1.27,3124873
666305087,34454.8,29.34281095315078,4626.926437300585,12.0,0.023,1.139,1.111,45681.7,26.22846285895235,5454.283998161902,15.0,0.029,1.142,1.179,30044.4,39.272528791186815,3346.1714514955406,11.0,0.02,1.808,1.199,28622.8,24.494075098748354,3939.065705124999,10.0,0.017,1.051,1.086,,13.640411947189957,1416.8535826881423,16.0,0.03,1.067,1.131,16035.8,33.172830452825785,2215.9372402736476,8.0,0.014,1.07,1.06,757.7,1.8592023466275562,82.4071974602574,27.0,0.044,5.473,1.337,2216.0,1.4930917818036367,262.84009975865877,12.0,0.025,2.301,1.331,38189.7,37.12818119698005,5198.863664269592,10.0,0.017,1.097,1.097,37705.2,-42.89201846635889,5027.783869228987,10.0,0.017,1.07,1.097,591148
667097243,39518.4,19.80141997633373,5291.402498935598,9.0,0.014,1.08,1.085,50857.4,5.196046732554457,6564.7900867253165,17.0,0.032,1.037,1.146,38556.4,-33.150447492541794,5393.142446767406,11.0,0.021,1.0,1.115,42009.6,0.11506474892085132,5367.7471986045275,9.0,0.016,1.028,1.162,13150.8,0.8998183363610607,1681.318234916683,15.0,0.024,1.105,1.119,19127.5,1.3057115714738088,2624.0858772044844,3.0,0.005,1.053,1.137,17748.9,24.30691155147414,2252.6678593345687,11.0,0.018,1.04,1.102,17807.0,-1.070048832519458,2302.8003125445093,11.0,0.018,1.237,1.131,42823.2,3.806086565223913,6043.2116034472,10.0,0.019,1.048,1.107,48867.6,63.0663488941851,6339.246994265711,11.0,0.017,1.148,1.075,1112204
668395393,4154.0,3.90336827719538,535.7492163706577,13.0,0.03,1.0,1.178,,,,0.0,0.0,0.0,0.0,3706.8999999999996,2.9883335277745373,476.96525303179175,15.0,0.027,1.07,1.115,5047.9,5.39467675538741,668.4469721589136,15.0,0.028,1.062,1.132,,,,0.0,0.0,0.0,0.0,5556.299999999999,1.1159314011433143,794.7444011433071,10.0,0.021,1.089,1.111,6222.3,4.801069982166964,584.564070403734,15.0,0.027,1.261,1.296,4918.3,2.916001399976667,622.9632967435824,17.0,0.032,1.149,1.197,4962.299999999999,0.859454869661204,633.1575204991256,12.0,0.026,1.007,1.206,9128.7,2.1429476175397077,1051.3689218690745,12.0,0.024,1.051,1.151,41357148
669333382,9305.7,0.5843235946067565,1101.5560127986037,9.0,0.015,1.184,1.146,13134.4,6.263662272295462,1457.230099614217,17.0,0.027,1.398,1.231,8048.299999999999,4.161663972267129,1155.6927172205915,7.0,0.011,1.002,1.068,8629.6,-0.5774237096048399,1097.9679226721437,9.0,0.014,1.08,1.142,3985.7999999999997,-2.693671772137131,408.4043235078793,14.0,0.022,1.156,1.173,5059.4,-8.157747370877152,676.3990624159368,8.0,0.013,1.157,1.139,6268.6,7.088348527524541,622.1067527074526,9.0,0.016,1.156,1.347,8386.400000000001,-5.617406376560391,743.746626122733,9.0,0.017,2.375,1.328,9621.400000000001,4.9430985044899645,1392.6264239981413,11.0,0.019,1.094,1.119,13029.4,-15.855369077182047,1750.1569218579693,8.0,0.014,1.152,1.135,7118804
669539950,5654.6,1.5219579673672106,573.9182556072519,11.0,0.019,1.145,1.257,15162.7,1.4464925584573591,1627.0969931744448,14.0,0.024,1.2,1.29,5134.5,-1.1453475775403743,552.9174253259486,13.0,0.022,1.203,1.148,6580.299999999999,-3.1075148747520873,670.4452904666424,12.0,0.02,1.255,1.194,,,,0.0,0.0,0.0,0.0,4158.8,0.4490591823469609,674.9587789783421,4.0,0.006,1.015,1.047,16063.5,1.222229629506175,756.2734795607366,10.0,0.033,1.897,1.634,11631.5,3.328611189813503,557.4276235264045,21.0,0.041,1.271,1.426,5557.2,1.9318378644568595,657.0859710725681,12.0,0.02,1.325,1.187,9142.8,9.25579573673772,1047.0841685747373,15.0,0.028,1.032,1.181,31875281
669797783,1152.4,0.07819869668838852,119.94924921741746,14.0,0.022,1.184,1.131,5738.1,-0.6380393660105665,485.63734640344416,20.0,0.032,1.008,1.47,933.5,0.5312911451475809,113.66620074408542,13.0,0.021,1.034,1.137,1094.5,-0.8984183596940051,133.4331854927721,17.0,0.029,1.038,1.174,1890.3,0.06753220779653672,105.46423403653907,15.0,0.024,1.175,1.591,3746.3,2.4281595306744888,350.96049206225166,14.0,0.03,1.141,1.298,2410.3,-1.594073432109465,168.0369166208805,9.0,0.02,2.433,1.332,2044.6,-1.0322827952867453,208.37001065439998,15.0,0.025,1.345,1.284,1128.5,-0.3120781320311328,135.01409139617627,18.0,0.028,1.06,1.239,2293.3,1.7850869152180797,236.74089526471346,16.0,0.025,1.05,1.241,45150816
669809445,4818.7,-0.45167580540324326,613.9365406139043,13.0,0.021,1.085,1.12,16453.7,-11.900818319694672,1822.5186963484139,19.0,0.033,1.005,1.209,4410.3,-4.276762053965768,568.0502204182951,14.0,0.022,1.121,1.112,6175.9,-3.831202813286445,784.6235954289971,14.0,0.022,1.106,1.144,3705.5,0.6892885118581357,389.68115635311625,16.0,0.027,1.088,1.237,4673.4,0.07189880168663855,694.8139935424318,9.0,0.014,1.26,1.125,5914.9,-1.5369077182046966,615.2415909529988,11.0,0.017,1.212,1.202,5418.9,-0.8437692705121581,494.4729057295698,15.0,0.028,1.192,1.405,,-1.244845537365573,688.9485842025853,13.0,0.021,1.155,1.091,8984.099999999999,3.229146180896985,1180.2340434003754,13.0,0.022,1.006,1.092,22054956
669860014,3866.0,-2.8886518558024035,320.6617400296749,7.0,0.012,1.147,1.431,8544.1,4.937634372760454,511.4603119007569,12.0,0.02,1.302,1.574,3570.1,-1.204646589223513,286.1469010868232,11.0,0.019,1.224,1.231,3157.2,0.24949584173597106,278.74622656903125,10.0,0.018,1.395,1.248,1908.7,-0.5233912768120531,184.4407262979458,22.0,0.037,1.032,1.274,4581.7,-5.581206979883668,546.1479219804879,11.0,0.018,1.071,1.19,4935.299999999999,1.388110198163364,360.6698741767342,4.0,0.006,1.991,1.381,3324.1000000000004,-4.664555590740155,449.62651336987176,15.0,0.024,1.016,1.084,3714.0,1.766837219379677,317.56141009269163,10.0,0.018,1.257,1.291,7383.8,-4.104398260029,648.358534033712,13.0,0.025,1.131,1.217,3582324
671513959,2612.4,0.7643372610456493,286.9846116537013,17.0,0.028,1.157,1.187,12006.5,1.4916751387476876,949.6584575072751,18.0,0.03,1.048,1.446,2130.1000000000004,-0.06066565557240713,262.9140306066327,11.0,0.018,1.062,1.231,33213.9,-6.291995133414443,2092.047345664643,23.0,0.05,1.067,1.653,,1.4296875,157.4783007116893,1.0,0.0,0.0,0.0,9341.2,6.664538924351261,611.8630539241428,16.0,0.026,1.611,1.351,10828.2,0.6098065032249462,617.5887611902695,11.0,0.019,1.24,1.674,3769.9,5.049599173347111,476.3430875544748,19.0,0.034,1.141,1.125,3805.9,2.0152164130597825,377.83057038765173,20.0,0.034,1.026,1.273,4799.0,7.224746254229096,536.1320217812024,15.0,0.025,1.147,1.145,19418178
671954941,4548.8,10.67557207379877,525.8806691986271,13.0,0.023,1.081,1.213,16213.8,6.395393410109832,1698.6824481227952,20.0,0.041,1.001,1.229,4064.4,3.0227162880618654,493.9023019544423,11.0,0.023,1.021,1.197,5324.0,6.872685455242412,620.8175831913455,15.0,0.029,1.067,1.151,,,,0.0,0.0,0.0,0.0,3728.8,-0.1869802169963834,611.4179838882443,4.0,0.01,1.003,1.039,6806.1,-2.2157464042265964,439.5512208470334,10.0,0.016,1.511,1.648,7077.5,-2.954117431376144,365.2553158006868,19.0,0.03,1.523,1.417,4496.7,1.1480104756272704,604.59117335953,14.0,0.03,1.047,1.112,8409.6,2.687038549357511,1007.1537791426147,9.0,0.019,1.012,1.271,29749813
672285731,962.2,0.46944217596373394,102.46799195625708,12.0,0.019,1.086,1.17,6490.4,0.8513024782920284,430.5533896645758,15.0,0.028,1.038,1.747,1154.1,-0.09493175113748104,96.58861509068416,12.0,0.024,1.463,1.312,1451.7,1.4097598373360445,119.23434703803022,14.0,0.026,1.114,1.352,2542.3,0.06844885918568024,136.80583089700332,13.0,0.023,1.106,1.618,1625.5,-1.741087648539191,198.11432984974982,13.0,0.021,1.134,1.197,957.3,2.9758670688821853,126.7406038512554,9.0,0.015,1.145,1.067,1421.4,-0.6579223679605339,162.43050032702016,15.0,0.027,1.04,1.156,1554.5,0.27696205063248946,125.7702463018571,15.0,0.029,1.549,1.285,2850.5,-1.1069648839186013,226.34684367896287,13.0,0.025,1.079,1.398,29786268
672998055,3286.1000000000004,-2.10473158780687,416.195751078814,8.0,0.015,1.13,1.155,6610.7,-1.4864585590240162,566.3342626451646,18.0,0.033,1.006,1.296,4842.4,-4.974350427492875,642.769337646405,11.0,0.041,1.01,1.148,3069.3,-2.7531041149314177,353.7773933808351,14.0,0.026,1.098,1.164,2118.3,2.1099315011416477,256.13109019134635,22.0,0.04,1.04,1.183,4164.8,-2.527757870702155,546.0801363735291,11.0,0.018,1.194,1.089,7203.5,2.6900551657472374,630.7335421575251,23.0,0.041,1.544,1.204,5181.1,-2.992533457775704,537.9452346905996,12.0,0.025,1.072,1.185,3323.4,-2.027349544174264,356.76950181786304,13.0,0.024,1.038,1.212,9421.5,3.4360927317878036,882.8103470648788,15.0,0.03,1.38,1.144,19024764
673964391,3751.6000000000004,6.642322627956201,377.91560536450334,10.0,0.018,1.186,1.214,9539.099999999999,0.40095998400026667,480.01398209291256,10.0,0.032,1.042,2.057,2966.0,-3.132414459759004,325.85737120046736,8.0,0.017,1.288,1.236,2933.8,-0.344327594540091,333.305502945711,17.0,0.032,1.002,1.205,2730.2,-1.198763353944101,208.1751114114921,17.0,0.031,1.053,1.366,3843.5,-11.661822302961617,499.4353209608582,4.0,0.025,1.165,1.111,3504.5,-2.471442142630956,405.5567143870988,4.0,0.01,1.119,1.275,3758.3999999999996,3.041432642789287,552.219098623387,4.0,0.012,1.062,1.098,3102.8,2.129864502258296,309.6057016164626,13.0,0.027,1.181,1.267,7139.6,1.1246145897568374,757.805025834477,12.0,0.021,1.015,1.157,42415289
674012882,1397.1999999999998,0.5166080565323912,117.17473090663282,9.0,0.017,1.062,1.367,11098.5,-0.7713871435476075,520.002137317637,14.0,0.024,1.068,1.872,1399.2,-0.6893218446359227,123.58598020231389,8.0,0.012,1.14,1.477,2462.1000000000004,0.16098065032249462,142.01531828980455,13.0,0.022,1.179,1.464,3314.7,-0.3743104281595307,158.47332607135172,9.0,0.015,1.066,2.109,1669.6999999999998,-0.9452342460958985,213.01785189018426,17.0,0.039,1.009,1.158,1285.2,-0.12868118864685588,130.83900097756054,9.0,0.018,1.118,1.182,1165.6,0.24307928201196646,151.56087957145886,15.0,0.026,1.054,1.151,2271.4,0.11999800003333277,145.13523875893995,14.0,0.024,1.641,1.369,4446.4,-1.4972583790270162,278.7380061073766,10.0,0.015,1.221,1.553,29441896
674198779,2244.8,3.895685071915468,254.68293728655112,12.0,0.021,1.185,1.136,9041.3,0.1860968983850269,537.5686675202486,15.0,0.024,1.82,1.448,1830.2,0.18148030866152232,223.8536865301361,15.0,0.027,1.119,1.163,2508.2,0.5187413543107615,275.40654381026644,20.0,0.036,1.05,1.255,2775.8999999999996,0.33969433842769287,227.32746140664148,16.0,0.026,1.512,1.287,2381.2,0.09983166947217546,319.12593555537376,15.0,0.025,1.037,1.145,4674.700000000001,-0.4894418426359561,479.2808104070477,24.0,0.041,1.169,1.28,6901.0,2.464558924017933,456.353103395634,19.0,0.031,1.168,1.383,2073.7,-1.4470449768810425,272.9970513806262,16.0,0.028,1.079,1.188,6274.6,4.764853919101348,640.276027115559,14.0,0.027,1.239,1.284,44513964
674901639,5069.3,1.4840919318011367,383.5122532031494,9.0,0.018,1.768,1.327,16934.0,3.2274962083965266,919.1791414842431,18.0,0.03,1.061,2.263,2254.1,0.8597356710721488,258.4033038768388,13.0,0.023,1.031,1.198,2811.1,-0.7411043149280845,295.49703940463127,14.0,0.024,1.266,1.17,2987.8999999999996,1.0884985250245829,228.8811621594068,20.0,0.037,1.479,1.342,1855.3,-0.10898151697471709,243.00984639119795,7.0,0.012,1.192,1.128,2594.8,-4.088931851135815,256.3264987012237,10.0,0.02,1.492,1.155,2155.2,-1.0455659072348795,243.02670544075508,20.0,0.036,1.026,1.148,3227.1,0.6455725737904369,340.335689439237,15.0,0.027,1.245,1.194,9324.2,5.283278612023133,858.4072248759105,11.0,0.023,1.218,1.209,25975167
675261564,3761.7,0.6932884451925801,327.8989621529239,10.0,0.039,1.112,1.294,13288.0,2.2132797786703553,866.7816629079427,20.0,0.032,1.137,1.725,2936.1,3.5624906251562476,250.9838464606244,12.0,0.037,1.037,1.369,3482.0,-2.1220812986450226,276.49689890423076,12.0,0.024,1.352,1.258,4411.4,-0.38347694205096583,264.2788372872865,15.0,0.028,1.27,1.508,1915.0,-2.1082981950300828,236.6957467369522,12.0,0.019,1.082,1.12,2893.4,-1.0231496141730971,234.30572989401847,6.0,0.022,1.321,1.378,2520.3,-1.8618689688505192,222.44284555627894,16.0,0.027,1.814,1.345,2808.3,2.0473442468496055,322.25431981671215,15.0,0.029,1.349,1.252,13058.5,-1.875302078298695,846.204354467649,10.0,0.04,1.087,1.467,36601832
675814457,3793.7,-3.2027132881118647,352.2798231596693,10.0,0.02,1.28,1.244,10258.9,0.8780353660772321,597.1730469723549,11.0,0.023,1.267,1.685,3854.2,-1.207279878668689,324.0326993239499,12.0,0.024,1.419,1.284,3351.4,2.969933834436093,361.92835427348996,14.0,0.025,1.024,1.2,3180.2,-0.0016333061115648073,214.21493185594795,15.0,0.031,1.116,1.522,4953.1,-7.52010799820003,405.1679661759405,21.0,0.035,1.001,1.438,6304.5,-4.323644605923235,548.8585440172488,13.0,0.027,1.037,1.316,4528.200000000001,0.8153364110598157,503.6991211216411,18.0,0.03,1.119,1.254,3395.3,-4.747219241317049,373.6539767010213,12.0,0.024,1.043,1.326,10786.4,-0.2934117764703922,758.0986886708079,9.0,0.018,1.334,1.291,17366058
675845523,2248.6000000000004,1.8269028849519175,272.96890409564844,11.0,0.019,1.199,1.106,13891.400000000001,-7.895668405526575,996.4642614419236,20.0,0.037,1.223,1.491,2355.8,-0.7532207796536724,259.3643887485306,11.0,0.022,1.047,1.12,3351.3,0.06818219696338394,351.8771208002042,16.0,0.03,1.068,1.2,2675.6000000000004,-0.7579873668772187,232.65815835383555,20.0,0.035,1.144,1.294,3328.2,-5.7543374277095385,453.15199120910387,5.0,0.011,1.045,1.108,3693.0,-2.4768253862435627,351.1308531290882,5.0,0.012,1.779,1.32,4257.6,-1.9171513808103198,553.3236605894441,15.0,0.024,1.246,1.14,2861.0,1.8319194680088666,341.1431659691707,16.0,0.032,1.148,1.15,5418.2,-5.9325011249812505,607.1453404411657,17.0,0.031,1.07,1.152,14494998
676115435,2451.5,-3.4685588573523773,336.9040378358397,12.0,0.024,1.053,1.122,24768.3,11.642539291011817,1921.89405394968,22.0,0.036,1.037,1.59,2540.0,-1.6859052349127515,318.87546474572275,13.0,0.029,1.054,1.117,3631.2,-0.5385076915384743,423.5357652495936,18.0,0.03,1.03,1.204,3072.5,-0.627706204896585,271.7017594672238,20.0,0.033,1.242,1.297,4587.8,-7.337944367593874,404.7380057858156,13.0,0.024,1.103,1.379,6373.200000000001,2.0985483575273745,402.35302025150867,15.0,0.028,1.062,1.679,8102.099999999999,-4.0688655189080185,546.184466488143,13.0,0.022,1.541,1.443,3728.5,-3.1517474708754856,418.1429025236138,14.0,0.023,1.028,1.21,6303.9,6.429042849285845,747.147486899148,16.0,0.03,1.094,1.141,6786278
676663859,2167.3999999999996,3.074832086131898,292.38827681411107,11.0,0.017,1.044,1.093,2885.0,-1.5378410359827337,258.93262876102506,20.0,0.034,1.624,1.253,1915.8000000000002,-0.2439126014566424,242.82031345676344,4.0,0.006,1.153,1.134,1768.5,-1.4441925967900535,231.04904976056184,8.0,0.012,1.162,1.127,1291.6999999999998,-0.20924651255812404,121.8187062888149,20.0,0.032,1.02,1.302,2437.0,1.046569583128486,422.14172225247813,4.0,0.008,1.014,1.009,2098.0,1.6935884401926635,323.7889758861103,3.0,0.006,1.047,1.02,3293.9,-7.471275478742021,481.64319640467335,4.0,0.055,1.058,1.063,1443.2,0.3432393773664283,195.18408496791164,12.0,0.019,1.033,1.074,4161.6,-1.4650255829069516,495.53755211538765,9.0,0.015,1.146,1.123,38166171
676899080,4520.3,-2.475742070965484,417.59607857469445,6.0,0.011,1.345,1.301,8304.7,0.40739321011316476,554.228503965133,16.0,0.032,1.225,1.414,2723.2,1.9148180863652273,314.086934383696,11.0,0.022,1.017,1.206,2951.8999999999996,-1.274695421742971,324.6552037025529,9.0,0.023,1.053,1.149,2921.0,1.0216496391726804,246.85944925839314,22.0,0.042,1.204,1.329,4131.6,6.029366177230379,619.4856759139544,1.0,0.0,0.0,0.0,3766.2,-0.16748054199096682,382.90224361360316,4.0,0.011,1.376,1.416,3136.4,2.566023899601673,471.5726262191668,4.0,0.006,1.084,1.03,2931.1000000000004,1.4879841910471756,319.986368612496,13.0,0.027,1.563,1.185,8253.2,-12.961800636656056,785.6580279178959,13.0,0.025,1.454,1.197,46857757
